usuario_id,id_evento,fecha_participacion,rol
1,1,2025-02-08,Participante
2,1,2025-03-11,Espectador
3,1,2025-04-28,Espectador
4,1,2025-04-03,Espectador
5,1,2025-05-24,Participante
6,1,2025-02-28,Espectador
7,1,2025-01-24,Participante
8,1,2025-02-01,Espectador
9,1,2025-03-07,Participante
10,1,2025-05-15,Espectador
11,1,2025-02-24,Espectador
12,1,2025-02-09,Espectador
13,1,2025-05-08,Participante
14,1,2025-04-26,Espectador
15,1,2025-03-22,Espectador
16,1,2025-03-20,Participante
17,1,2025-01-27,Participante
18,1,2025-03-28,Espectador
19,1,2025-02-20,Participante
20,1,2025-03-09,Participante
21,1,2025-01-24,Participante
22,1,2025-02-14,Espectador
23,1,2025-03-15,Espectador
24,1,2025-02-04,Participante
25,1,2025-01-16,Espectador
26,1,2025-03-24,Participante
27,1,2025-02-22,Espectador
28,1,2025-05-05,Espectador
29,1,2025-04-10,Participante
30,1,2025-04-12,Participante
31,1,2025-05-24,Espectador
32,1,2025-02-14,Participante
33,1,2025-02-15,Espectador
34,1,2025-03-21,Espectador
35,1,2025-04-08,Espectador
36,1,2025-03-16,Espectador
37,1,2025-05-14,Espectador
38,1,2025-01-21,Espectador
39,1,2025-06-25,Participante
40,1,2025-04-11,Participante
41,1,2025-05-23,Espectador
42,1,2025-02-27,Espectador
43,1,2025-03-26,Espectador
44,1,2025-03-23,Participante
45,1,2025-04-24,Espectador
46,1,2025-04-21,Participante
47,1,2025-03-15,Espectador
48,1,2025-02-01,Espectador
49,1,2025-01-15,Participante
50,1,2025-01-22,Participante
51,1,2025-05-23,Espectador
52,1,2025-05-04,Participante
53,1,2025-03-17,Participante
54,1,2025-06-25,Espectador
55,1,2025-04-04,Participante
56,1,2025-05-23,Participante
57,1,2025-02-16,Espectador
58,1,2025-04-18,Participante
59,1,2025-01-04,Espectador
60,1,2025-05-06,Espectador
61,1,2025-04-20,Espectador
62,1,2025-06-02,Participante
63,1,2025-06-11,Participante
64,1,2025-04-09,Participante
65,1,2025-04-11,Participante
66,1,2025-05-28,Participante
67,1,2025-01-24,Participante
68,1,2025-05-22,Espectador
69,1,2025-06-17,Participante
70,1,2025-04-02,Espectador
71,1,2025-05-24,Participante
72,1,2025-01-28,Participante
73,1,2025-01-25,Participante
74,1,2025-03-18,Espectador
75,1,2025-01-27,Participante
76,1,2025-04-11,Participante
77,1,2025-06-15,Espectador
78,1,2025-02-19,Participante
79,1,2025-03-27,Espectador
80,1,2025-04-22,Espectador
81,1,2025-01-18,Espectador
82,1,2025-01-05,Participante
83,1,2025-06-04,Participante
84,1,2025-06-07,Espectador
85,1,2025-03-02,Participante
86,1,2025-04-14,Espectador
87,1,2025-06-25,Participante
88,1,2025-06-18,Participante
89,1,2025-02-02,Participante
90,1,2025-02-28,Participante
91,1,2025-06-05,Participante
92,1,2025-03-10,Espectador
93,1,2025-01-06,Espectador
94,1,2025-04-15,Espectador
95,1,2025-04-24,Espectador
96,1,2025-02-09,Participante
97,1,2025-05-10,Participante
98,1,2025-03-04,Participante
99,1,2025-05-20,Espectador
100,1,2025-03-19,Participante
101,1,2025-05-14,Participante
102,1,2025-06-12,Participante
103,1,2025-02-06,Participante
104,1,2025-02-27,Espectador
105,1,2025-02-06,Participante
106,1,2025-04-25,Espectador
107,1,2025-02-19,Espectador
108,1,2025-02-28,Participante
109,1,2025-04-08,Participante
110,1,2025-05-16,Participante
111,1,2025-04-24,Espectador
112,1,2025-04-19,Espectador
113,1,2025-04-16,Participante
114,1,2025-06-02,Participante
115,1,2025-04-12,Participante
116,1,2025-06-02,Espectador
117,1,2025-01-08,Participante
118,1,2025-03-26,Participante
119,1,2025-06-24,Espectador
120,1,2025-05-15,Espectador
121,1,2025-03-17,Espectador
122,1,2025-03-07,Participante
123,1,2025-03-15,Participante
124,1,2025-01-09,Espectador
125,1,2025-04-24,Espectador
126,1,2025-02-19,Espectador
127,1,2025-02-06,Espectador
128,1,2025-04-11,Participante
129,1,2025-03-22,Participante
130,1,2025-06-19,Espectador
131,1,2025-03-06,Participante
132,1,2025-05-01,Espectador
133,1,2025-04-24,Participante
134,1,2025-03-23,Participante
135,1,2025-05-17,Participante
136,1,2025-01-30,Participante
137,1,2025-06-24,Espectador
138,1,2025-01-14,Participante
139,1,2025-03-07,Espectador
140,1,2025-05-18,Espectador
141,1,2025-03-11,Participante
142,1,2025-01-23,Espectador
143,1,2025-01-27,Espectador
144,1,2025-02-20,Espectador
145,1,2025-04-20,Participante
146,1,2025-03-15,Espectador
147,1,2025-05-03,Participante
148,1,2025-06-26,Espectador
149,1,2025-01-13,Participante
150,1,2025-02-20,Espectador
151,1,2025-03-22,Espectador
152,1,2025-03-29,Espectador
153,1,2025-03-10,Participante
154,1,2025-03-27,Espectador
155,1,2025-01-24,Participante
156,1,2025-02-02,Espectador
157,1,2025-04-17,Espectador
158,1,2025-04-20,Espectador
159,1,2025-06-22,Participante
160,1,2025-03-12,Espectador
161,1,2025-02-02,Espectador
162,1,2025-01-10,Participante
163,1,2025-03-14,Espectador
164,1,2025-02-07,Participante
165,1,2025-03-14,Espectador
166,1,2025-01-14,Participante
167,1,2025-03-07,Participante
168,1,2025-04-25,Participante
169,1,2025-02-15,Espectador
170,1,2025-03-13,Espectador
171,1,2025-05-16,Espectador
172,1,2025-03-05,Participante
173,1,2025-05-16,Participante
174,1,2025-03-22,Espectador
175,1,2025-03-19,Espectador
176,1,2025-03-21,Espectador
177,1,2025-04-03,Espectador
178,1,2025-01-14,Espectador
179,1,2025-01-18,Espectador
180,1,2025-02-21,Espectador
181,1,2025-04-25,Espectador
182,1,2025-01-14,Espectador
