reseña_id,id_videojuego,usuario_id,comentario,fecha_comentario,nro_logros,horas_jugadas
1,1239,355,Part participant southern house there at reveal. Main control sell since.,2025-03-23,68,36
2,1087,824,Purpose really least. Sort public live know.,2025-04-09,31,167
3,174,197,Themselves general seven between no describe. State field throw long hope article suffer. Share address hand anything.,2025-03-21,54,7
4,427,1532,Call full at across quickly. Play newspaper party air. Pattern ability score address news when. Cup art seat.,2025-01-08,5,103
5,1465,1772,Yard if everyone language. Question hear north rest at seven billion.,2025-01-07,24,126
6,1094,1704,Article turn reason any no most. Lose understand step manager sport difficult. Second car quickly person.,2025-04-12,46,46
7,874,1338,Paper of south. True technology management perhaps fire.,2025-05-23,40,80
8,23,1741,Question where require certain break bring. Total series traditional medical tend without half itself.,2025-04-18,82,181
9,93,1266,Word compare conference cultural nearly.,2025-03-15,15,20
10,447,1548,Story key they something mind amount.,2025-03-21,23,189
11,371,704,Whom beyond return arrive fast there eye. Daughter democratic whom final not read without. Operation model when step official current run ability. Region sure program even glass themselves question.,2025-04-16,35,78
12,394,1871,Military national boy part share recent type sea. Weight care month its compare join. Heavy base record. His risk success capital system business.,2025-02-27,95,105
13,553,1862,High home attorney situation reach. Kid century very nearly run.,2025-03-21,93,116
14,1277,98,Stand success top success. Kitchen appear like drop computer.,2025-06-19,9,65
15,921,535,Attention across season fast sell produce.,2025-04-17,62,2
16,265,784,Through bag defense attention. Issue success despite education smile across financial. Year debate action above upon apply.,2025-05-11,25,57
17,405,670,Bed value performance indeed. This keep service conference. Environment than billion go.,2025-02-01,5,146
18,835,20,Professor remain decision food such American raise.,2025-04-14,74,35
19,478,3,Around who stop past hospital firm billion. Within say security tell analysis action. Treatment their beyond threat job focus.,2025-03-29,42,186
20,147,883,Catch work rate my appear. Federal attorney all throughout there move with. Mean consider go fish.,2025-06-04,96,44
21,219,1029,Young during example. Head statement to my practice west. Series campaign feeling cause artist. Ago case most too.,2025-01-01,11,65
22,985,36,Pressure follow site even. Special see way camera. Worker base here guy forward eight special.,2025-03-30,66,143
23,453,1227,Reduce seem another north total focus vote. Management hotel move upon television drop.,2025-06-20,30,171
24,271,1271,Describe fast action history firm. Sport build rate dark manage result cut.,2025-03-08,36,57
25,954,1453,Ten beautiful bag. Game west fear enter part energy. Point local plan.,2025-01-30,5,190
26,1019,664,Better future build. Of training bill know.,2025-05-09,27,65
27,102,1303,Environment tough major power page. Good part network some.,2025-02-03,10,184
28,365,1121,Plant all base evidence training contain. Person standard develop. Look relationship property.,2025-06-03,59,95
29,224,1730,Physical suffer pretty drug seven. Assume official to fish. Color finish front account try draw the eight.,2025-05-06,8,145
30,1424,622,Movie health father in compare scene low. Scene specific lot might amount happy year.,2025-05-12,42,153
31,323,291,Those evening rich. North weight song wife.,2025-04-27,80,67
32,60,1370,Fact million reduce all. Decade test us produce. Son person note look its.,2025-02-05,41,99
33,22,1506,Process suggest require black language by player. Future short father change human.,2025-02-04,75,113
34,668,18,Moment her degree market war.,2025-06-02,63,182
35,676,891,Crime note clear.,2025-01-31,59,141
36,724,990,Nice quality before young another decision computer. Hotel forget thought well something. Material enough product.,2025-05-28,66,162
37,599,1765,Be they week everyone. Expert prove the study field work. Prove according decade so every. Billion next miss story.,2025-02-25,37,185
38,621,1834,Beautiful break too give. Growth argue per president.,2025-02-24,33,7
39,464,511,Image soon hard final note company. Store break effect himself page usually else. Million whom personal hundred. Kind yard eight glass cover some economy.,2025-06-25,14,148
40,835,1743,See worry after part any someone material race. Five most up let ten just. Star organization dinner responsibility if you such.,2025-03-02,93,165
41,1473,1532,Simple friend great fight. Growth sister course international eat reveal foot blue. Product last occur think question day.,2025-04-30,79,194
42,727,98,Appear share brother necessary choice. Set prepare thank exist major marriage.,2025-04-15,8,183
43,1186,1123,Week art human safe wish himself. Give current social call test free than. Open per child fear.,2025-03-27,16,187
44,1071,1125,So responsibility president population left western eight. Big part whole.,2025-02-26,91,111
45,675,125,Force lawyer spring consider really democratic. Show plant me school born dinner. Claim suggest detail receive. Real skill article her world firm television military.,2025-03-07,44,14
46,673,505,Ball always present Mr behind decision. Compare go coach fine. Trouble travel page forget difficult.,2025-03-28,10,65
47,1183,1039,Artist claim protect financial operation. Investment people put race second operation painting. Fight eye determine task read.,2025-04-19,54,53
48,1148,1012,Establish health north standard remain bad. Write section player.,2025-05-06,69,23
49,909,1503,Necessary real deep particularly before. Book hold charge realize this question ahead.,2025-03-26,19,104
50,46,174,Usually adult east word. Yeah win travel long.,2025-05-08,80,9
51,1413,1944,Activity offer gas alone.,2025-02-07,25,58
52,1218,583,End action small detail head collection catch base.,2025-03-21,93,25
53,1483,1950,Television risk blood agreement. Type under use possible.,2025-06-12,57,168
54,475,1067,Whole simple life let understand. What some participant today.,2025-05-29,95,98
55,308,1938,Job might here himself push produce. Crime population get leg top professional worry course. Particular money trade receive.,2025-02-26,75,80
56,577,1027,Edge lawyer into far challenge apply. Hear look foot miss down.,2025-06-01,67,118
57,278,1919,Ever American different support. Quickly value capital oil price. Find possible son tax health stand car.,2025-03-26,28,67
58,1307,476,Fact interesting order human bar. Serve charge everything.,2025-06-19,90,20
59,286,452,Someone anything no art mission could.,2025-01-31,53,81
60,66,458,Well strong medical close worry performance. Material must single charge fish stop bed.,2025-03-12,51,91
61,535,1110,Not figure hold difficult. Ready economy mind low. Single population if.,2025-02-21,29,107
