id_logro,id_videojuego,nombre,descripcion,dificultad
1,7977,Logro Doctor,Dinner share how Democrat old threat.,Difícil
2,14770,Logro Region,Everybody stuff until.,Medio
3,268,Logro Finally,Television ten soon per material.,Difícil
4,12615,Logro Design,Offer eye some seem bar control score.,Medio
5,12319,Logro Sense,Employee subject name.,Difícil
6,358,Logro Red,Or west color after drop course.,Medio
7,7411,Logro Affect,Federal model trip over never office heart do.,Difícil
8,5181,Logro Rich,Course wear big technology common hard develop.,Fácil
9,4619,Logro City,Hundred bar television media.,Fácil
10,10674,Logro Century,Former somebody again war.,Fácil
11,12188,Logro Family,Teach minute other smile.,Medio
12,9665,Logro Begin,Note stop authority quite picture ten industry push.,Fácil
13,14064,Logro Similar,Much my cultural before century less cause.,Medio
14,1890,Logro Successful,Program station trial send rich free.,Fácil
15,8719,Logro Thought,Sport close well type reality across look.,Medio
16,6374,Logro Near,Culture teacher main too.,Fácil
17,12218,Logro Staff,Ready mind provide important performance and claim.,Medio
18,6083,Logro Picture,Certainly care onto north.,Difícil
19,11127,Logro About,After worker half.,Medio
20,6256,Logro One,Tree design war like.,Fácil
21,4268,Logro Travel,Expect thought remember hotel across field line.,Fácil
22,5278,Logro North,Money push nothing campaign student prepare expect.,Fácil
23,790,Logro Discover,Account party Mrs break east discuss first.,Fácil
24,6450,Logro Himself,Move nearly degree husband young.,Difícil
25,5525,Logro Civil,Financial general education too against painting fine.,Fácil
26,10945,Logro Fire,She other cell food book mind.,Difícil
27,13790,Logro Though,Born born seven either physical individual pay.,Fácil
28,14659,Logro As,Direction project quality rather perform large place son.,Fácil
29,4962,Logro Shoulder,Born leader for fall.,Difícil
30,13877,Logro Be,Arm their discuss movement.,Difícil
31,5394,Logro Give,Cover left door various station mission ten front.,Medio
32,7602,Logro Red,Clearly particularly allow left management least.,Medio
33,4108,Logro Western,Different price collection late finish thousand.,Difícil
34,8097,Logro Sea,Able born memory.,Difícil
35,8820,Logro Rich,Site dark environmental place ball word into.,Difícil
36,4293,Logro Simple,Plant see ago administration somebody.,Medio
37,9131,Logro Exist,Again score stand authority great turn computer.,Medio
38,837,Logro Southern,Carry many important others open while grow water.,Medio
39,14756,Logro Together,Nor hear speak over pull.,Difícil
40,14547,Logro Sound,Rather write everything.,Difícil
41,760,Logro Blood,Take region each man increase person.,Difícil
42,119,Logro Husband,Maybe site fire example baby thought data.,Fácil
43,5551,Logro Bad,Real everything note role law bit.,Fácil
44,662,Logro Trip,Discussion business change morning agency nothing set share.,Medio
45,6144,Logro Also,Night cultural laugh important course protect.,Fácil
46,2211,Logro Process,Should response wear.,Medio
47,7395,Logro Ever,Game news how conference speak us way.,Fácil
48,8613,Logro Seem,Level fine right but.,Fácil
49,12622,Logro Sound,Chance remain likely rule particular.,Medio
50,8609,Logro Around,Large usually finally pay.,Difícil
51,10014,Logro As,Sport red then up difference late travel others.,Medio
52,13872,Logro Else,Will business area baby nature.,Medio
53,14515,Logro Say,Give base start film side minute image.,Medio
54,5959,Logro Recognize,Rather best happy everybody part democratic.,Fácil
55,4252,Logro Store,Yard cultural turn nearly sit later.,Difícil
56,3190,Logro Name,Interview ten another fire.,Fácil
57,5924,Logro Six,Worry camera today activity party agent manager discover.,Fácil
58,13667,Logro Peace,Choice rest continue lead buy.,Medio
59,5420,Logro Space,Near along as plant.,Fácil
60,7871,Logro Hard,Herself cold bring there war southern.,Fácil
61,5122,Logro Week,Single him him rock.,Medio
62,10905,Logro Yourself,Hour many field fact want address trade.,Medio
63,9836,Logro Specific,Cell wide form occur everything.,Fácil
64,5285,Logro Soldier,Practice manager several different for history develop seat.,Difícil
65,13612,Logro Like,Off with fast wall tend.,Difícil
66,3633,Logro Important,Any sense audience bad president become simply.,Fácil
67,14827,Logro Under,Popular responsibility relationship hot.,Difícil
68,6263,Logro Picture,Wind decide another up particularly rock.,Fácil
69,9178,Logro Even,Yeah authority writer.,Difícil
70,9259,Logro Authority,Seem hospital night simple executive life him.,Medio
71,8364,Logro Watch,Name task tax boy.,Difícil
72,12679,Logro It,Office data member again through toward.,Medio
73,6001,Logro Poor,Office everybody her need.,Medio
