objeto_id,id_videojuego,usuario_id,nombre,descripcion,a_la_venta
1,10825,2081,Objeto Realize,Glass through sell word nor.,False
2,7417,16954,Objeto Five,Factor great building factor character party article onto.,False
3,7797,7051,Objeto Day,Movement as chance.,True
4,4978,9572,Objeto Bar,Cover item ask dinner eight piece place nor.,False
5,246,10067,Objeto Example,Cultural politics single their office go think well.,False
6,6576,9713,Objeto Kitchen,Send its detail evidence rise science likely.,True
7,10042,2743,Objeto Inside,Explain collection green late particularly process grow some.,False
8,1599,10439,Objeto Begin,Course reduce car trial line.,False
9,11162,10717,Objeto Ask,Several score many history campaign.,False
10,11961,7348,Objeto Performance,Condition others him.,True
11,12248,18965,Objeto Oil,Care process role attention simply.,True
12,984,10617,Objeto Standard,Ball free hotel their relationship.,False
13,10612,6151,Objeto Find,Bag professional short international interest.,False
14,9593,7628,Objeto Crime,Summer glass speech age push once.,True
15,3467,13041,Objeto Against,Too pass growth serious purpose sign assume.,False
16,8582,16728,Objeto Myself,Official him pick probably its low.,True
17,4232,10407,Objeto Treatment,Those possible particularly along parent less agent.,False
18,2945,15824,Objeto Consumer,Unit Republican nation key her treatment population.,False
19,5550,775,Objeto Important,Maybe wish crime successful we page.,False
20,4647,9484,Objeto Partner,Relate collection agree another.,True
21,1174,14409,Objeto Fine,Contain star interesting door church something.,False
22,4077,19029,Objeto Difficult,Garden happy design what voice bank.,False
23,12310,14663,Objeto Up,Different suggest TV story boy tend sometimes.,True
24,514,10110,Objeto Become,Fly point easy seven near.,False
25,3436,8778,Objeto Bed,Back week government sound number sea red question.,True
26,9785,4094,Objeto Leg,Employee rest national Republican.,True
27,1182,1250,Objeto Reveal,Yourself recent this office if.,True
28,2621,19788,Objeto Nothing,Investment remember special matter night low treat.,False
29,2548,6057,Objeto Next,Voice place something something price language.,False
30,6285,5691,Objeto Police,Security perhaps traditional than music moment deal true.,False
31,4775,12775,Objeto Else,Raise consumer tough others court politics political.,False
32,5009,13066,Objeto Their,Somebody may ability authority really suggest too.,False
33,622,15729,Objeto Talk,Half stay catch.,True
34,5551,10680,Objeto Edge,Many yard might nothing see serve blue.,False
35,6968,18082,Objeto Sign,Most yeah clear note its blue response.,False
36,10318,12064,Objeto Father,Experience bar nice machine group become or discover.,True
37,2535,10941,Objeto Alone,Current position region measure news government direction.,True
38,10721,11384,Objeto Health,Event reason foreign just.,True
39,13454,18277,Objeto Today,International physical wish use.,False
40,14817,7898,Objeto Fear,Nothing already myself most.,True
41,12929,11725,Objeto Lose,Industry politics leave recognize street necessary.,True
42,4893,817,Objeto Voice,Third long have.,False
43,5334,8308,Objeto Tax,Seat program accept eye attorney think language.,False
44,14981,3051,Objeto Together,Receive knowledge guess.,False
45,11986,5271,Objeto Student,Camera pull make early help let.,False
46,7242,11682,Objeto Thus,Score hit Republican indeed however.,True
47,10299,3012,Objeto Important,Evidence way them side pay claim in clearly.,False
48,3973,11290,Objeto Talk,Democratic choose specific purpose help.,True
49,5996,7562,Objeto Maybe,Town others pass moment necessary let.,False
50,11043,14943,Objeto Visit,Clearly yard magazine receive candidate.,True
51,1004,7295,Objeto Look,Stock pay role.,True
52,3498,8699,Objeto Nearly,Should parent population fly.,True
53,13282,11558,Objeto Check,Religious believe animal trial.,True
54,3360,16789,Objeto Meeting,Study thus agree pretty second single employee beat.,True
55,6485,11568,Objeto Physical,Green few security politics any environmental indeed.,True
56,806,434,Objeto Wonder,City send off everyone onto time.,False
57,6433,1174,Objeto Adult,Instead couple quickly then per put present.,False
58,2124,4197,Objeto Example,Rock current people cause.,False
59,13264,10468,Objeto Man,Design focus thus already.,True
60,5001,18800,Objeto New,Prepare worker painting again network.,True
61,6440,16633,Objeto Everyone,Will drive dark degree position American paper.,True
62,2240,13373,Objeto Book,Back tonight young particularly believe ahead reach.,False
63,1745,15853,Objeto Heavy,Sure head son method security.,False
64,1532,11962,Objeto Effort,Sense turn bar.,True
65,12005,10625,Objeto Single,Green where day Congress fine so.,True
66,13795,3987,Objeto Seek,Recognize explain whatever camera save particularly.,False
67,8126,14836,Objeto Bed,As director hear blood.,True
68,6587,15988,Objeto Old,Will assume phone or skill according mouth.,True
69,13424,12358,Objeto Fall,Late possible write old senior.,True
